Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,CityState,Country,Postal Code,ZIP,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
17870,Tilden & Blanding,Starbucks,11161-103516,510-337-1091,CO,"2671 Blanding Avene, D",2671 Blanding Avene,D,,Alameda,CA,AlamedaCA,US,945011587,94501,"(37.7682266235352, -122.232460021973)",37.76822662,-122.23246,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
12063,Las Trampas & Danville Blvd,Starbucks,5543-1657,(925) 362-9568,CO,3225 Danville Boulevard,3225 Danville Boulevard,,,Alamo,CA,AlamoCA,US,945071913,94507,"(37.8481979370117, -122.031677246094)",37.84819794,-122.0316772,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
18532,Safeway-Alamo #962,Starbucks,74118-22881,925-820-8022,LS,200 Alamo Plaza,200 Alamo Plaza,,,Alamo,CA,AlamoCA,US,945071529,94507,"(37.8503150939941, -122.033851623535)",37.85031509,-122.0338516,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
1009599,Albertsons - Alamogordo #1053,Starbucks,23941-230639,575-488-1200,LS,1300 10th St,1300 10th St,,,Alamogordo,NM,AlamogordoNM,US,88310,88310,"(32.8998641967773, -105.946212768555)",32.8998642,-105.9462128,Mountain Standard Time,-360,GMT-07:00 America/Denver,2/9/2015 5:00
18571,Safeway-Alamosa #1681,Starbucks,74491-96635,719-587-3075,LS,1301 Main St,1301 Main St,,,Alamosa,CO,AlamosaCO,US,811012120,81101,"(37.468334197998, -105.875473022461)",37.4683342,-105.875473,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
12651,Phoebe Putney Memorial Hospital,Starbucks,75219-86321,229-312-1121,LS,417 3rd Ave,417 3rd Ave,,,Albany,GA,AlbanyGA,US,31702,31702,"(31.5902614593506, -84.1578140258789)",31.59026146,-84.15781403,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
1012124,940 Pacific Blvd - Albany,Starbucks,25108-237985,5412201765,CO,940 Pacific Blvd,940 Pacific Blvd,,,Albany,OR,AlbanyOR,US,97321,97321,"(44.6330184936523, -123.092529296875)",44.63301849,-123.0925293,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,6/25/2015 4:00
1012667,Teavana - Crossgates Mall,Teavana,28442-249823,518-218-0245,CO,"1 CROSSGATE MALL RD, #B205A, Crossgates Mall",1 CROSSGATE MALL RD,#B205A,Crossgates Mall,Albany,NY,AlbanyNY,US,12203,12203,"(42.6876945495605, -73.8498153686523)",42.68769455,-73.84981537,Eastern Standard Time,-240,GMT-05:00 America/New_York,7/8/2015 4:00
1012996,Dawson Road and Westover,Starbucks,25396-238725,229-869-1140,CO,2700 Dawson Road,2700 Dawson Road,,,Albany,GA,AlbanyGA,US,31707,31707,"(31.6178092956543, -84.2232666015625)",31.6178093,-84.2232666,Eastern Standard Time,-240,GMT-05:00 America/New_York,9/15/2015 4:00
9373,Safeway-Albany #1659,Starbucks,74304-77300,541-812-2380,LS,1990 14th Ave SE,1990 14th Ave SE,,,Albany,OR,AlbanyOR,US,973228504,97322,"(44.6274566650391, -123.081344604492)",44.62745667,-123.0813446,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
9985,ALB Concourse B Times Square,Starbucks,3503-140887,(518) 242-4333,LS,737 Albany-Shaker Road,737 Albany-Shaker Road,,,Albany,NY,AlbanyNY,US,122111000,12211,"(42.7413177490234, -73.808219909668)",42.74131775,-73.80821991,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10254,1244 Western Ave,Starbucks,11194-103976,518-591-0372,CO,1244 Western Avenue,1244 Western Avenue,,,Albany,NY,AlbanyNY,US,122033322,12203,"(42.678409576416, -73.8303604125977)",42.67840958,-73.83036041,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10394,College St. Rose,Starbucks,75393-105057,518-485-3946,LS,420 Western Ave,420 Western Ave,,,Albany,NY,AlbanyNY,US,122031400,12203,"(42.6641311645508, -73.7854919433594)",42.66413116,-73.78549194,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
11587,Target Albany T-1926,Starbucks,76267-89722,510-982-3394,LS,1057 Eastshore Hwy,1057 Eastshore Hwy,,,Albany,CA,AlbanyCA,US,947101011,94710,"(37.8835334777832, -122.307754516602)",37.88353348,-122.3077545,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
13063,Fred Meyer Santiam - Albany,Starbucks,3410-87040,541-812-2221,CO,2504 Santiam Hwy,2504 Santiam Hwy,,,Albany,OR,AlbanyOR,US,973225211,97322,"(44.631275177002, -123.075386047363)",44.63127518,-123.075386,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
13848,North Pearl Street,Starbucks,7922-92120,518-463-6990,CO,10 North Pearl St,10 North Pearl St,,,Albany,NY,AlbanyNY,US,122072702,12207,"(42.6501579284668, -73.7527236938477)",42.65015793,-73.75272369,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
14094,Aramark @ Meredyth Place Med,Starbucks,75188-82021,229-312-1131,LS,2709 Meredyth Dr,2709 Meredyth Dr,,,Albany,GA,AlbanyGA,US,317070222,31707,"(31.6040458679199, -84.2067718505859)",31.60404587,-84.20677185,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
16072,Wolf Road,Starbucks,7379-1056,(518) 435-9280,CO,18 Wolf Rd,18 Wolf Rd,,,Albany,NY,AlbanyNY,US,122052609,12205,"(42.7106857299805, -73.820198059082)",42.71068573,-73.82019806,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
16077,Stuyvesant Plaza,Starbucks,7335-1053,(518) 489-1064,CO,1475 Western Avenue,1475 Western Avenue,,,Albany,NY,AlbanyNY,US,122033520,12203,"(42.6833305358887, -73.840217590332)",42.68333054,-73.84021759,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
17270,New Scotland Avenue,Starbucks,11275-103630,518-694-8171,CO,"62 New Scotland Ave, Hilton Garden Inn at Albany Medical Ctr",62 New Scotland Ave,,Hilton Garden Inn at Albany Medical Ctr,Albany,NY,AlbanyNY,US,122083466,12208,"(42.6522941589355, -73.7761917114258)",42.65229416,-73.77619171,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
17271,N Albany & Hickory- Albany,Starbucks,13326-105968,541-928-6399,CO,633 Hickory St NW,633 Hickory St NW,,,Albany,OR,AlbanyOR,US,973211760,97321,"(44.6440658569336, -123.113426208496)",44.64406586,-123.1134262,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
17883,Crossgates Mall,Starbucks,11064-103915,518-218-1520,CO,"1 Crossgates Mall Road, B231, Crossgates Mall",1 Crossgates Mall Road,B231,Crossgates Mall,Albany,NY,AlbanyNY,US,122035367,12203,"(42.6894607543945, -73.850471496582)",42.68946075,-73.8504715,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
18338,"Colonie, Wolf Road",Starbucks,11810-104532,518-482-2370,CO,243 Wolf Rd,243 Wolf Rd,,,Albany,NY,AlbanyNY,US,122051114,12205,"(42.7266235351563, -73.7953948974609)",42.72662354,-73.7953949,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
20058,Target Colonie T-1268,Starbucks,15207-156777,518-489-1112,LS,1440 Central Ave,1440 Central Ave,,,Albany,NY,AlbanyNY,US,122055118,12205,"(42.7069435119629, -73.8232803344727)",42.70694351,-73.82328033,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
6609,528 Lowe's Access Rd,Starbucks,13413-105007,505 897-1096,CO,"3410 NM 528 NW, 200, Lowe's Center",3410 NM 528 NW,200,Lowe's Center,Albuquerque,NM,AlbuquerqueNM,US,87114,87114,"(35.2050971984863, -106.650497436523)",35.2050972,-106.6504974,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
8335,U of NM - Zimmerman Library,Starbucks,75279-97118,505-321-2256,LS,201 La Posada,201 La Posada,,,Albuquerque,NM,AlbuquerqueNM,US,87131,87131,"(35.085262298584, -106.620552062988)",35.0852623,-106.6205521,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
11753,Market Place at Journal Center,Starbucks,5467-1525,(505) 823-9208,CO,"7600 Jefferson NE Street, Suite #1",7600 Jefferson NE Street,Suite #1,,Albuquerque,NM,AlbuquerqueNM,US,87109,87109,"(35.1658782958984, -106.591079711914)",35.1658783,-106.5910797,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
15542,Coors Road & Montano,Starbucks,6497-35799,505-890-2822,CO,"6421 Riverside Plaza Lane, Riverside Plaza",6421 Riverside Plaza Lane,,Riverside Plaza,Albuquerque,NM,AlbuquerqueNM,US,87120,87120,"(35.1553497314453, -106.68091583252)",35.15534973,-106.6809158,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
94978,Wyoming & Academy,Starbucks,17996-178545,5058568332,CO,"5901 Wyoming Blvd NE, P5",5901 Wyoming Blvd NE,P5,,Albuquerque,NM,AlbuquerqueNM,US,87109,87109,"(35.147647857666, -106.555152893066)",35.14764786,-106.5551529,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
114061,Target Albuquerque T-2813,Starbucks,17094-177244,505-200-3234,LS,2120 Louisiana Blvd. NE,2120 Louisiana Blvd. NE,,,Albuquerque,NM,AlbuquerqueNM,US,87110,87110,"(35.1000442504883, -106.568656921387)",35.10004425,-106.5686569,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
1006269,Target Albuquerque T-625,Starbucks,20786-207784,505-897-7923,LS,9371 Coors Blvd NW,9371 Coors Blvd NW,,,Albuquerque,NM,AlbuquerqueNM,US,87114,87114,"(35.1849403381348, -106.664001464844)",35.18494034,-106.6640015,Mountain Standard Time,-360,GMT-07:00 America/Denver,12/8/2013 22:41
